EQID,"EQNAME",YYYY,MN,DD,HH,MM,SEC,LAT,LON,DEPTH,MAG,DELTA_GMT,LOC_HH,"LOC_DOW","ISO_COUNTRY","ISO_CODE",ISO_DIST,PAGER_REG,SHAKE_DEATHS,SD_FLAG,GROWTH,SHAKEMAP_UNCERT,"SHAKEMAP_GMPE",U010,U020,U030,U040,U050,U060,U070,U080,U090,U100,R010,R020,R030,R040,R050,R060,R070,R080,R090,R100,MAXMMI
196707300000,"Caracas, Venezuela",1967,07,30,00,00,02,10.555,-67.310,23.1,6.6,-4,20,Sat,VENEZUELA,VE,0.015519,4,240,NaN,0.0138,0.92967,Regression::BJF97,0,0,0,1207411,1917048,2581825,1187879,905038,364,0,0,0,0,504463,596514,23809,8625,47087,11,0,9
196712102251,"Koyna, India",1967,12,10,22,51,21,17.390,73.774,4.5,6.3,5.5,3.5,Mon,INDIA,IN,0,5,180,NaN,0.0138,0.98713,Regression::BJF97,0,0,0,20101463,7269076,46152,7553,0,0,0,0,0,0,15419588,7394694,281477,43099,2771,0,0,8
196804090229,"Borrego Mountain, California",1968,04,09,02,29,01,33.157,-116.194,15,6.6,-8,18,Mon,UNITED STATES,US,0,1,NaN,NaN,0.0091,0.90678,Regression::BJF97,0,0,0,1266987,12797462,2390927,1747,0,0,0,0,0,0,93173,553810,58603,7005,1687,1069,231,9
196805231724,"Inangahua, New Zealand",1968,05,23,17,24,20,-41.743,172.123,46.8,7.2,12,5,Fri,NEW ZEALAND,NZ,0,1,3,NaN,0.0099,0.97596,Regression::BJF97,0,0,0,0,631124,11632,6120,0,0,0,0,0,0,1406,150291,17509,2434,5514,897,390,9
196808311047,"Dasht-e Bayaz, Iran",1968,08,31,10,47,40,34.037,58.962,11.8,7.2,3.5,13.5,Sat,IRAN; ISLAMIC REPUBLIC OF,IR,0,5,15000,NaN,0.011,0.79947,Regression::BJF97,0,0,0,2324910,109832,53188,0,0,0,0,0,0,0,870533,186968,100535,7734,7952,3443,0,9
196810140258,"Meckering, Australia",1968,10,14,02,58,50,-31.522,116.978,5,6.8,8,10,Mon,AUSTRALIA,AU,0,2,0,NaN,0.0085,0.87776,Regression::BJF97,0,0,0,43666,1035746,8716,0,0,0,0,0,0,0,52362,84675,8236,1090,182,175,0,9
196907252249,"Yangjiang, China",1969,07,25,22,49,38,21.611,111.803,3.7,5.9,8,6,Sat,CHINA,CN,0.018687,5,33,NaN,0.0059,1.067,Regression::BJF97,0,0,0,37058790,1464554,333850,113281,5042,3503,0,0,0,0,33086312,7062771,408329,188193,69327,29494,0,9
196909292003,"Ceres, South Africa",1969,09,29,20,03,30,-33.191,19.335,15,6.3,2,22,Mon,SOUTH AFRICA,ZA,0,3,12,NaN,0.0042,1,Regression::BJF97,0,0,0,124161,2737699,92837,7349,17670,10477,0,0,0,0,257026,282003,52490,17274,11347,973,0,9
197001041700,"Tonghai, China",1970,01,04,17,00,40,24.148,102.462,14.1,7.2,8,1,Mon,CHINA,CN,0,5,15621,NaN,0.0059,1,Regression::BJF97,0,0,0,1859744,4486937,553617,249139,41759,65486,50001,0,0,0,17308864,8424101,906988,699594,319973,146058,54050,9
197003101715,"Calingiri, Australia",1970,03,10,17,15,12,-31.093,116.513,15,5.5,8,1,Wed,AUSTRALIA,AU,0,2,NaN,NaN,0.0085,NaN,Regression::BJF97,0,0,0,1045123,2563,0,0,0,0,0,0,0,315,56507,8279,48,0,0,0,0,5
197003282102,"Gediz, Turkey",1970,03,28,21,02,25,39.174,29.545,24.4,6.9,2,23,Sat,TURKEY,TR,0,3,1086,NaN,0.0106,1,Regression::BJF97,0,0,0,1046651,14074678,331349,31086,111246,0,13555,0,0,0,1036238,3679699,383133,137926,77737,30612,22085,9
197005312023,"Peru",1970,05,31,20,23,32,-9.248,-78.842,73.2,7.5,-5,15,Sun,PERU,PE,0.22993,4,0,NaN,0.0132,,Regression::Youngs97_intraslab,0,0,0,593763,2933108,3775460,401272,230013,0,0,0,0,0,1807747,1999589,921905,633541,52537,0,0,8
197012100434,"Peru-Ecuador Border",1970,12,10,04,34,39,-4.079,-80.660,19.5,7.1,-5,23,Wed,PERU,PE,0,4,81,NaN,0.0132,1.1642,Regression::Youngs97_interface,0,0,209182,1561814,1674618,200931,61749,49873,0,0,0,0,246181,1993616,732034,670730,400386,69400,0,0,8
197102091400,"San Fernando, California",1971,02,09,14,00,41,34.400,-118.391,5,6.6,-8,6,Tue,UNITED STATES,US,0,1,65,NaN,0.0091,0.80761,Regression::BJF97,0,0,0,1666265,8421372,4443815,1996683,318590,20650,0,0,0,0,103214,204523,29949,1823,443,520,0,9
197107090303,"Valparaiso, Chile",1971,07,09,03,03,19,-32.558,-71.085,59,7.8,-4,23,Thu,CHILE,CL,0,4,83,NaN,0.0094,0.9966,Regression::Youngs97_intraslab,0,0,0,80512,1252457,352776,4750083,524498,16,0,0,0,0,13638,455807,294577,283942,230546,0,0,8
197204100206,"Ghir, Iran",1972,04,10,02,06,51,28.411,52.789,5.6,6.9,3.5,5.5,Mon,IRAN; ISLAMIC REPUBLIC OF,IR,0,5,5010,NaN,0.011,1.1462,Regression::BJF97,0,0,0,2547774,1802199,70536,69,0,0,0,0,0,0,747443,891352,44425,23978,17961,3819,152,9
197212230629,"Managua, Nicaragua",1972,12,23,06,29,44,12.351,-86.127,6.8,6.2,-6,0,Sat,NICARAGUA,NI,0,4,11000,4,0.0189,,Regression::BJF97,0,0,0,1005033,682947,201693,263760,311058,0,0,0,0,0,1630170,1059328,44407,49,0,0,0,8
197301031431,,1973,01,03,14,31,07,39.163,71.915,42.5,5.5,6,20,Wed,TAJIKISTAN,TJ,0,4,NaN,NaN,0.0219,1.0013,Regression::Youngs97_intraslab,0,0,1134391,271897,0,0,0,0,0,0,0,240,833129,438453,31606,404,0,0,0,0,6
197301061552,,1973,01,06,15,52,42,-14.653,166.484,27.1,6.1,11,2,Sun,VANUATU,VU,0.071185,4,NaN,NaN,0.0149,1.0064,Regression::Youngs97_intraslab,0,0,0,4359,0,0,0,0,0,0,0,7746,31098,25084,9871,1233,1535,99,0,0,7
197301130605,,1973,01,13,06,05,40,-16.817,28.137,10,5.0,2,8,Sat,ZAMBIA,ZM,0,4,NaN,NaN,0.0211,NaN,Regression::AB06_ENA_BC_nosite,0,0,54413,0,0,0,0,0,0,0,0,7301,452099,15777,3747,0,0,0,0,0,5
197301160947,,1973,01,16,09,47,08,-3.488,135.587,35.3,5.5,9,18,Tue,INDONESIA,ID,0,4,NaN,NaN,0.0141,1.0014,Regression::Youngs97_intraslab,0,0,0,0,0,0,0,0,0,0,0,16655,122801,44035,26038,12998,2305,0,0,0,7
197301171139,,1973,01,17,11,39,36,-26.272,28.126,30,4.8,2,13,Wed,SOUTH AFRICA,ZA,0,3,NaN,NaN,0.0042,NaN,Regression::AB06_ENA_BC_nosite,0,2399979,4539319,2138890,0,0,0,0,0,0,0,1399567,138893,1860,0,0,0,0,0,0,4
197301180928,,1973,01,18,09,28,15,-6.870,150.027,39.3,6.8,10,19,Thu,PAPUA NEW GUINEA,PG,0.56075,4,NaN,NaN,0.0221,1.0131,Regression::Youngs97_intraslab,0,0,142500,12787,17111,0,0,0,0,0,0,0,200503,116128,46873,7804,3900,0,0,0,7
197301201234,,1973,01,20,12,34,21,29.298,68.632,17.2,5.6,5,17,Sat,PAKISTAN,PK,0,5,NaN,NaN,0.0209,1.0237,Regression::BJF97,0,0,0,2329277,27672,0,0,0,0,0,0,0,0,4561992,276629,10668,1473,11,0,0,7
197301220037,,1973,01,22,00,37,55,18.514,-105.110,1.9,6.2,-7,17,Sun,MEXICO,MX,0.7641,3,NaN,NaN,0.0116,NaN,Regression::BJF97,0,0,21995,4795465,83449,0,0,0,0,0,0,0,10521,983572,37515,0,0,0,0,0,5
197301241119,,1973,01,24,11,19,46,-26.041,28.130,33,4.9,2,13,Wed,SOUTH AFRICA,ZA,0,3,NaN,NaN,0.0042,NaN,Regression::AB06_ENA_BC_nosite,0,1520405,5445200,2109883,0,0,0,0,0,0,0,992821,652245,6757,0,0,0,0,0,0,4
197301302101,"Colima, Mexico",1973,01,30,21,01,13,18.455,-102.961,37.3,7.5,-6,15,Tue,MEXICO,MX,0,3,17,NaN,0.0116,1,Regression::Youngs97_interface,0,0,426911,7180467,1412910,475411,247426,64443,0,0,0,0,260461,1978549,644209,168869,54480,36134,0,0,8
197302060950,,1973,02,06,09,50,41,-26.387,28.388,33,4.8,2,11,Tue,SOUTH AFRICA,ZA,0,3,NaN,NaN,0.0042,NaN,Regression::AB06_ENA_BC_nosite,0,3913662,4816636,274243,0,0,0,0,0,0,0,1301816,122166,4873,0,0,0,0,0,0,4
197302061037,"Luhuo, China",1973,02,06,10,37,08,31.361,100.503,5.9,7.7,8,18,Tue,CHINA,CN,0,5,2199,6,0.0059,1,Regression::BJF97,0,0,0,66635,26247,0,0,0,0,0,0,0,0,1989889,1810718,102144,35355,19540,6436,24987,9
197302071606,,1973,02,07,16,06,23,31.472,100.287,9.7,5.8,8,0,Thu,CHINA,CN,0,5,NaN,NaN,0.0059,1.0336,Regression::BJF97,0,0,0,863,0,0,0,0,0,0,0,0,0,630314,107967,11043,599,62,0,0,7
197302140049,,1973,02,14,00,49,18,22.289,121.495,39.4,5.9,8,8,Wed,TAIWAN; PROVINCE OF CHINA,TW,0.20446,2,NaN,NaN,0.0061,1.0027,Regression::Youngs97_intraslab,0,0,2219575,4927467,300348,0,0,0,0,0,0,0,243134,306465,55733,357,360,0,0,0,7
197302171602,,1973,02,17,16,02,46,17.022,-61.460,23.9,5.5,-4,12,Sat,ANTIGUA AND BARBUDA,AG,0.20443,4,NaN,NaN,0.0055,1.0014,Regression::Youngs97_intraslab,0,0,71804,272053,54528,52872,452,0,0,0,0,1,89761,33441,3354,834,75,0,0,0,7
197302201519,,1973,02,20,15,19,51,-16.669,27.943,33,5.0,2,17,Tue,ZAMBIA,ZM,0,4,NaN,NaN,0.0211,NaN,Regression::AB06_ENA_BC_nosite,0,0,75365,0,0,0,0,0,0,0,0,8552,445035,10961,0,0,0,0,0,0,4
197302211445,,1973,02,21,14,45,56,34.059,-119.050,5.9,5.9,-8,6,Wed,UNITED STATES,US,0.025907,1,0,NaN,0.0091,1.0371,Regression::BJF97,0,0,0,7121037,6890289,347543,85990,3809,0,0,0,0,0,129224,48547,4340,503,411,0,0,8
197302251031,,1973,02,25,10,31,41,-1.813,99.543,33.4,5.9,7,17,Sun,INDONESIA,ID,0.15969,4,NaN,NaN,0.0141,1.0026,Regression::Youngs97_intraslab,0,0,178842,731008,0,0,0,0,0,0,0,162,1462845,573864,12725,8524,244,0,0,0,7
197302280637,,1973,02,28,06,37,55,50.484,156.624,59.9,7.2,10,16,Wed,RUSSIAN FEDERATION,RU,0.26698,3,NaN,NaN,-0.0037,1.0427,Regression::Youngs97_intraslab,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1615,1808,1886,774,0,0,8
197303091301,,1973,03,09,13,01,46,-27.988,27.055,33,4.9,2,15,Fri,SOUTH AFRICA,ZA,0,3,NaN,NaN,0.0042,NaN,Regression::AB06_ENA_BC_nosite,0,677109,416643,67327,0,0,0,0,0,0,0,627966,313709,14730,0,0,0,0,0,0,4
197303091909,"Picton, Australia",1973,03,09,19,09,15,-34.023,150.110,18.3,5.5,10,5,Sat,AUSTRALIA,AU,0,2,NaN,NaN,0.0085,0.98701,Regression::BJF97,0,0,0,254535,3236710,18758,0,0,0,0,0,0,0,31114,128609,18067,631,164,5,0,8
197303111040,,1973,03,11,10,40,06,-16.568,28.000,33,5.1,2,12,Sun,ZAMBIA,ZM,0,4,NaN,NaN,0.0211,NaN,Regression::AB06_ENA_BC_nosite,0,7463,752437,0,0,0,0,0,0,0,0,537216,707792,14911,0,0,0,0,0,0,4
197303121239,,1973,03,12,12,39,02,4.191,126.453,28.1,5.5,8,20,Mon,INDONESIA,ID,0.21526,4,NaN,NaN,0.0141,1.0012,Regression::Youngs97_intraslab,0,340298,0,0,0,0,0,0,0,0,0,200012,59185,43587,67033,62494,5738,0,0,0,7
197303160051,,1973,03,16,00,51,47,2.123,126.599,14.1,6.3,9,9,Fri,INDONESIA,ID,0.80193,4,NaN,NaN,0.0141,NaN,Regression::BJF97,0,0,0,400278,0,0,0,0,0,0,0,0,0,1428913,6337,0,0,0,0,0,5
197303170830,,1973,03,17,08,30,54,13.400,122.794,45,7.5,8,16,Sat,PHILIPPINES,PH,0.081045,3,15,NaN,0.018,1.1399,Regression::Youngs97_interface,0,0,27804,8039097,5840890,215304,292084,0,0,0,0,0,376977,8127544,3162828,1111376,1541702,6032,0,0,8
197303181106,,1973,03,18,11,06,13,2.044,126.459,15.7,6.5,8,19,Sun,INDONESIA,ID,0.69632,4,NaN,NaN,0.0141,NaN,Regression::BJF97,0,0,0,400315,0,0,0,0,0,0,0,0,0,1430801,34199,0,0,0,0,0,5
197303232139,,1973,03,23,21,39,48,4.287,126.764,28.1,5.6,8,5,Sat,INDONESIA,ID,0,4,NaN,NaN,0.0141,1.0023,Regression::Youngs97_intraslab,0,431718,0,0,0,0,0,0,0,0,0,284027,103165,600,33252,38182,72689,0,0,0,7
197303252002,,1973,03,25,20,02,26,-26.005,27.930,30,5.0,2,22,Sun,SOUTH AFRICA,ZA,0,3,NaN,NaN,0.0042,NaN,Regression::AB06_ENA_BC_nosite,0,47978,4947750,3555616,0,0,0,0,0,0,0,29200,1231061,31166,0,0,0,0,0,0,4
197303270048,,1973,03,27,00,48,07,-26.176,28.164,33,4.9,2,2,Tue,SOUTH AFRICA,ZA,0,3,NaN,NaN,0.0042,NaN,Regression::AB06_ENA_BC_nosite,0,1563638,4687358,2827346,0,0,0,0,0,0,0,1116445,506484,25,0,0,0,0,0,0,4
197304010712,,1973,04,01,07,12,37,11.626,43.021,20.1,5.9,3,10,Sun,DJIBOUTI,DJ,0.029306,4,0,NaN,0.0202,1.035,Regression::BJF97,0,0,0,128839,16327,6033,169723,0,0,0,0,0,0,1369417,49289,8729,2833,143,0,0,8
197304081241,,1973,04,08,12,41,03,-15.798,167.304,31.2,6.4,11,23,Sun,VANUATU,VU,0.089442,4,NaN,NaN,0.0149,1.0098,Regression::Youngs97_intraslab,0,0,1992,1811,0,0,4375,0,0,0,0,0,13199,25047,35111,12749,12474,1101,0,0,8
197304101955,,1973,04,10,19,55,58,-9.810,119.252,37.6,5.8,8,3,Wed,INDONESIA,ID,0.062366,4,NaN,NaN,0.0141,1.0023,Regression::Youngs97_intraslab,0,0,47243,35280,0,0,0,0,0,0,0,0,743822,513450,92805,152089,45450,0,0,0,7
197304121349,,1973,04,12,13,49,17,50.879,157.401,54.7,6.5,10,23,Thu,RUSSIAN FEDERATION,RU,0.36778,3,NaN,NaN,-0.0037,1.0068,Regression::Youngs97_intraslab,0,0,0,0,0,0,0,0,0,0,0,0,2,2152,3495,1398,151,0,0,0,7
197304140834,,1973,04,14,08,34,02,10.676,-84.858,31.2,6.5,-6,2,Sat,COSTA RICA,CR,0,3,26,NaN,0.0145,1.0133,Regression::Youngs97_intraslab,0,13884,684570,1416058,1378075,128584,7230,0,0,0,0,94548,1256679,672087,344664,155509,147422,8537,0,0,8
197304171234,,1973,04,17,12,34,25,-4.368,134.213,14.3,6.7,9,21,Tue,INDONESIA,ID,0.34653,4,NaN,NaN,0.0141,1.077,Regression::BJF97,0,0,0,12176,0,0,0,0,0,0,0,0,0,380054,36542,1652,0,0,0,0,6
197304190212,,1973,04,19,02,12,12,-16.766,28.163,33,4.6,2,4,Thu,ZAMBIA,ZM,0,4,NaN,NaN,0.0211,NaN,Regression::AB06_ENA_BC_nosite,0,185133,0,0,0,0,0,0,0,0,4626,679291,22102,109,0,0,0,0,0,0,4
197304222203,,1973,04,22,22,03,43,3.916,31.175,33,4.9,2,0,Mon,SUDAN,SD,0,4,NaN,NaN,0.0255,NaN,Regression::AB06_ENA_BC_nosite,0,112924,13828,0,0,0,0,0,0,0,0,1173630,629952,19454,0,0,0,0,0,0,4
197304242130,,1973,04,24,21,30,09,4.908,-78.114,33,6.6,-5,16,Tue,COLOMBIA,CO,0.74502,4,1,NaN,0.0146,NaN,Regression::Youngs97_intraslab,0,282,4217515,2458879,36,0,0,0,0,0,0,50903,1597547,631672,56630,1512,0,0,0,0,6
197304260346,,1973,04,26,03,46,59,-26.123,28.196,33,4.8,2,5,Thu,SOUTH AFRICA,ZA,0,3,NaN,NaN,0.0042,NaN,Regression::AB06_ENA_BC_nosite,0,2364358,5289412,1425585,0,0,0,0,0,0,0,1507744,140593,1154,0,0,0,0,0,0,4
197304262026,,1973,04,26,20,26,30,19.951,-155.109,26.9,6.2,-10,10,Thu,UNITED STATES MINOR OUTLYING ISLANDS,UM,0.046631,2,0,NaN,-0.00115,1.0071,Regression::Youngs97_intraslab,0,148114,643433,121616,41707,12389,60705,0,0,0,0,5089,40204,12406,15036,24701,12824,46,0,0,7
197304270948,,1973,04,27,09,48,21,-26.291,27.662,31,4.9,2,11,Fri,SOUTH AFRICA,ZA,0,3,NaN,NaN,0.0042,NaN,Regression::AB06_ENA_BC_nosite,0,2359373,5206675,1268042,0,0,0,0,0,0,0,1103945,411469,32277,0,0,0,0,0,0,4
197304300729,,1973,04,30,07,29,48,50.993,89.734,33,4.6,7,14,Mon,RUSSIAN FEDERATION,RU,0,3,NaN,NaN,-0.0037,NaN,Regression::AB06_ENA_BC_nosite,0,0,0,0,0,0,0,0,0,0,0,42974,11368,0,0,0,0,0,0,0,3
197305011040,,1973,05,01,10,40,45,-9.981,150.252,6.3,5.9,10,20,Tue,PAPUA NEW GUINEA,PG,0.13144,4,NaN,NaN,0.0221,1.0266,Regression::BJF97,0,0,0,0,1096,0,0,0,0,0,0,0,0,58488,69093,3203,18,0,0,0,6
197305020126,,1973,05,02,01,26,17,-9.917,150.234,1.2,5.6,10,11,Wed,PAPUA NEW GUINEA,PG,0.18273,4,NaN,NaN,0.0221,NaN,Regression::BJF97,0,0,0,0,1096,0,0,0,0,0,0,0,0,79040,52662,97,0,0,0,0,5
197305080522,,1973,05,08,05,22,22,-16.868,27.903,33,5.2,2,7,Tue,ZAMBIA,ZM,0,4,NaN,NaN,0.0211,NaN,Regression::AB06_ENA_BC_nosite,0,57683,719446,0,0,0,0,0,0,0,0,429934,842782,15582,0,0,0,0,0,0,4
197305121405,,1973,05,12,14,05,02,-3.937,152.059,14,5.6,10,0,Sun,PAPUA NEW GUINEA,PG,0.15584,4,NaN,NaN,0.0221,NaN,Regression::BJF97,0,0,0,23679,10501,0,0,0,0,0,0,0,1231,85103,100486,306,0,0,0,0,6
197305121620,,1973,05,12,16,20,11,-3.801,152.090,14.9,6.0,10,2,Sun,PAPUA NEW GUINEA,PG,0.27468,4,NaN,NaN,0.0221,NaN,Regression::BJF97,0,0,0,0,10501,0,0,0,0,0,0,0,0,19944,106377,738,0,0,0,0,6
197305160319,,1973,05,16,03,19,02,-3.004,140.101,33,5.7,9,12,Wed,INDONESIA,ID,0,4,NaN,NaN,0.0141,1.0022,Regression::Youngs97_intraslab,0,0,0,30440,3206,0,0,0,0,0,0,12493,349233,199841,63087,13736,6433,0,0,0,7
197305170938,,1973,05,17,09,38,08,41.136,82.187,5,5.5,8,17,Thu,CHINA,CN,0,5,NaN,NaN,0.0059,1.0195,Regression::BJF97,0,0,0,147209,0,0,0,0,0,0,0,0,0,614830,452650,2739,30,8,0,0,7
197305222204,,1973,05,22,22,05,01,-9.947,150.366,22.7,5.5,10,8,Wed,PAPUA NEW GUINEA,PG,0.222,4,NaN,NaN,0.0221,1.0015,Regression::Youngs97_intraslab,0,0,0,0,0,1097,0,0,0,0,0,3318,40074,34969,33837,12178,379,0,0,0,7
197306022357,,1973,06,02,23,57,05,44.142,83.592,22.2,5.8,8,7,Sun,CHINA,CN,0,5,NaN,NaN,0.0059,1.0035,Regression::Youngs97_intraslab,0,0,0,0,0,0,0,0,0,0,0,0,122758,1171163,314986,48540,852,0,0,0,7
197306050312,,1973,06,05,03,12,28,-17.207,167.854,32.2,6.5,11,14,Tue,VANUATU,VU,0.49082,4,NaN,NaN,0.0149,1.0074,Regression::Youngs97_intraslab,0,0,0,4385,0,3813,0,0,0,0,0,0,22429,37563,18773,33387,2002,0,0,0,7
197306071834,,1973,06,07,18,34,44,14.420,-91.716,31.5,5.7,-6,12,Thu,GUATEMALA,GT,0,4,NaN,NaN,0.0227,1.0022,Regression::Youngs97_intraslab,0,7458,285935,1695498,452772,103601,38044,0,0,0,0,14378,1232085,1231091,719820,261883,111508,0,0,0,7
197306080101,,1973,06,08,01,01,14,-17.422,167.997,29.8,5.9,11,12,Fri,VANUATU,VU,0.25893,4,NaN,NaN,0.0149,1.0028,Regression::Youngs97_intraslab,0,0,0,0,0,3813,0,0,0,0,0,0,14381,22368,9707,22935,1021,0,0,0,7
197306090821,,1973,06,09,08,21,29,-10.290,161.421,77,6.6,11,19,Sat,SOLOMON ISLANDS,SB,0,4,NaN,NaN,0.0042,1.0075,Regression::Youngs97_intraslab,0,0,0,10237,0,0,0,0,0,0,0,0,18415,179602,98092,39911,11948,0,0,0,7
197306130948,,1973,06,13,09,48,28,-19.209,169.770,37.7,5.7,11,20,Wed,VANUATU,VU,0.16168,4,NaN,NaN,0.0149,1.0019,Regression::Youngs97_intraslab,0,0,3814,0,0,0,0,0,0,0,0,0,26664,2792,16212,835,91,0,0,0,6
197306141449,,1973,06,14,14,49,49,-10.446,120.439,35,5.6,8,22,Thu,INDONESIA,ID,0.12455,4,NaN,NaN,0.0141,1.0015,Regression::Youngs97_intraslab,0,43486,52324,0,0,0,0,0,0,0,0,313338,590079,156687,52626,8735,68,0,0,0,6
197306150109,,1973,06,15,01,09,04,45.254,-71.132,2.7,5.2,-5,20,Thu,CANADA,CA,0,2,NaN,NaN,0.0088,1.0094,Regression::AB06_ENA_BC_nosite,0,17869,805455,12102,0,0,0,0,0,0,0,22820,420423,15316,2683,49,0,0,0,0,5
197306170355,"Nemuro-Oki, Japan",1973,06,17,03,55,03,43.223,145.741,43.6,7.7,10,13,Sun,JAPAN,JP,0.10194,2,0,NaN,0.0002,1,Regression::Youngs97_interface,0,0,0,131,449315,73520,224527,0,0,0,0,0,0,43192,203058,55988,58586,0,0,0,7
197306170409,,1973,06,17,04,09,15,42.994,146.344,41.3,5.9,10,14,Sun,[no sovereignty shown; use disclaimer],XX,0.45404,3,NaN,NaN,0,NaN,Regression::Youngs97_intraslab,0,0,4425,107384,28534,0,0,0,0,0,0,0,1927,82185,11120,169,0,0,0,0,6
197306171214,,1973,06,17,12,14,28,43.001,145.434,42.6,5.5,10,22,Sun,JAPAN,JP,0.16521,2,NaN,NaN,0.0002,1.0011,Regression::Youngs97_intraslab,0,0,189027,259309,45945,1948,0,0,0,0,0,0,93466,64265,43288,9653,0,0,0,0,6
197306171333,,1973,06,17,13,33,29,43.053,145.348,43,5.6,10,23,Sun,JAPAN,JP,0.11456,2,NaN,NaN,0.0002,1.0013,Regression::Youngs97_intraslab,0,0,85714,178075,222595,16804,0,0,0,0,0,0,74212,82053,44124,20876,0,0,0,0,6
197306172037,,1973,06,17,20,37,57,42.717,145.983,37.3,6.0,10,6,Mon,JAPAN,JP,0.61331,2,NaN,NaN,0.0002,NaN,Regression::Youngs97_intraslab,0,0,0,18746,28346,0,0,0,0,0,0,0,0,8431,33441,21,0,0,0,0,5
197306240243,,1973,06,24,02,43,25,43.358,146.424,30.5,7.1,10,12,Sun,[no sovereignty shown; use disclaimer],XX,0.26195,3,0,NaN,0,1.0354,Regression::Youngs97_intraslab,0,0,0,129171,320103,23095,28097,437,0,0,0,0,0,86063,79010,42514,11478,1720,0,0,8
197306262232,,1973,06,26,22,31,59,43.113,146.600,28.8,6.6,10,8,Wed,[no sovereignty shown; use disclaimer],XX,0.52589,3,NaN,NaN,0,1.0103,Regression::Youngs97_intraslab,0,0,0,435744,23095,28534,0,0,0,0,0,0,4802,99880,50534,6061,576,0,0,0,7
197307030703,,1973,07,03,07,03,47,12.268,125.332,48.6,6.5,8,15,Tue,PHILIPPINES,PH,0,3,NaN,NaN,0.018,1.0094,Regression::Youngs97_intraslab,0,0,2285853,677429,155281,22918,0,0,0,0,0,68820,4816424,3171648,761230,400436,220430,0,0,0,7
